date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:16	258857/258857	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:15%20GMT	https://wisdom-ships.b12sites.com/customs-clearance	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/customs-clearance.html	(from https://wisdom-ships.b12sites.com/index)
12:52:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:16%20GMT	http://wisdom-ships.b12sites.com/transportation-services	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/transportation-services.36.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:17	65981/65981	---M--	200	added ('OK')	image/jpeg	etag:%222cda3a5504e662d7225a069ded7e110a%22	https://cdn.b12.io/client_media/s7TggBT1/1f1fe7e6-229e-11ef-9031-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/1f1fe7e6-229e-11ef-9031-0242ac110002-jpg-regular_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:18	258881/258881	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:17%20GMT	https://wisdom-ships.b12sites.com/transportation-services	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/transportation-services.html	(from https://wisdom-ships.b12sites.com/index)
12:52:18	618257/618257	---M--	200	added ('OK')	image/jpeg	etag:%225a2c0feb248190e2ad7947895c4e6efb%22	https://cdn.b12.io/client_media/s7TggBT1/1fbb9a1a-229e-11ef-9031-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/1fbb9a1a-229e-11ef-9031-0242ac110002-jpg-hero_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:18%20GMT	http://wisdom-ships.b12sites.com/handling-expertise	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/handling-expertise.3a.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:20	258899/258899	---M--	200	added ('OK')	image/jpeg	etag:%22c149e241350d361ab781b1dbe4b45908%22	https://cdn.b12.io/client_media/s7TggBT1/20af0146-229e-11ef-9031-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/20af0146-229e-11ef-9031-0242ac110002-jpg-regular_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:21	258903/258903	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:20%20GMT	https://wisdom-ships.b12sites.com/handling-expertise	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/handling-expertise.html	(from https://wisdom-ships.b12sites.com/index)
12:52:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:21%20GMT	http://wisdom-ships.b12sites.com/delivery-services	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/delivery-services.3e.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:23	625562/625562	---M--	200	added ('OK')	image/jpeg	etag:%22d6375b7b5e0ccd8b7f18e070c2ceda8f%22	https://cdn.b12.io/client_media/s7TggBT1/2009930a-229e-11ef-9031-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/2009930a-229e-11ef-9031-0242ac110002-jpg-hero_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:23	296844/296844	---M--	200	added ('OK')	image/jpeg	etag:%2235415ef20cbd52d6a9cb3ef2f5f22c5f%22	https://cdn.b12.io/client_media/s7TggBT1/20d1e85a-229e-11ef-9031-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/20d1e85a-229e-11ef-9031-0242ac110002-jpg-regular_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:24	259187/259187	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:23%20GMT	https://wisdom-ships.b12sites.com/delivery-services	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/delivery-services.html	(from https://wisdom-ships.b12sites.com/index)
12:52:24	414353/414353	---M--	200	added ('OK')	image/jpeg	etag:%22b63982a2e6291adc2bba33fdbc45f236%22	https://cdn.b12.io/client_media/s7TggBT1/1f060600-229e-11ef-9031-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/1f060600-229e-11ef-9031-0242ac110002-jpg-hero_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:24%20GMT	http://wisdom-ships.b12sites.com/shipping-consultation	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/shipping-consultation.42.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:26	177116/177116	---M--	200	added ('OK')	image/jpeg	etag:%22cb948557db63408b72e27b5c62cffcc9%22	https://cdn.b12.io/client_media/s7TggBT1/206a9e98-229e-11ef-9031-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/206a9e98-229e-11ef-9031-0242ac110002-jpg-regular_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:27	259104/259104	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:26%20GMT	https://wisdom-ships.b12sites.com/shipping-consultation	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/shipping-consultation.html	(from https://wisdom-ships.b12sites.com/index)
12:52:27	298204/298204	---M--	200	added ('OK')	image/jpeg	etag:%2257b24f70a7290baf935b11e2851410f3%22	https://cdn.b12.io/client_media/s7TggBT1/1e1d7caa-229e-11ef-9031-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/1e1d7caa-229e-11ef-9031-0242ac110002-jpg-hero_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:27%20GMT	http://wisdom-ships.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.46.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:29	129308/129308	---M--	200	added ('OK')	image/jpeg	etag:%227514283ba81281e8a7c6d3150eaab688%22	https://cdn.b12.io/client_media/s7TggBT1/1fd4c4c2-229e-11ef-9031-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/client_media/s7TggBT1/1fd4c4c2-229e-11ef-9031-0242ac110002-jpg-regular_image.jpg	(from https://wisdom-ships.b12sites.com/index)
12:52:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:32%20GMT	http://wisdom-ships.b12sites.com/scheduling	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/scheduling.48.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:34	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:33%20GMT	http://wisdom-ships.b12sites.com/intake-form	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/intake-form.4a.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:34	317944/317944	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:33%20GMT	https://wisdom-ships.b12sites.com/scheduling	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/scheduling.html	(from https://wisdom-ships.b12sites.com/index)
12:52:34	518382/518382	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Jun%202024%2011:52:31%20GMT	https://wisdom-ships.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	(from https://wisdom-ships.b12sites.com/index)
12:52:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Jun%202024%2011:52:35%20GMT	http://cdn.b12.io/prod_traffic/global.js	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/prod_traffic/global.4c.delayed	(from https://wisdom-ships.b12sites.com/index)
12:52:36	291960/291960	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:52:35%20GMT	https://wisdom-ships.b12sites.com/intake-form	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/intake-form.html	(from https://wisdom-ships.b12sites.com/index)
12:52:36	71295/71295	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ca4809d57257e2816c1aa0a50fc8dea%22	https://cdn.b12.io/prod_traffic/global.js	C:/My%20Web%20Sites/Wisdomships/cdn.b12.io/prod_traffic/global.js	(from https://wisdom-ships.b12sites.com/index)
12:52:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:52:37%20GMT	http://wisdom-ships.b12sites.com/robots.txt		(from https://wisdom-ships.b12sites.com/index)
12:52:38	884/884	---MC-	200	added ('OK')	text/javascript	date:Wed,%2005%20Jun%202024%2011:52:36%20GMT	https://www.google.com/recaptcha/api.js?render=6Ld1R8kUAAAAAGEYGyd1RXFcdSGY03uF4y_yN40A	C:/My%20Web%20Sites/Wisdomships/www.google.com/recaptcha/apifb47.js	(from https://wisdom-ships.b12sites.com/index)
